lon,lat
-80,-25.171875
-80.0,85.78125
6.227933930268672,85.78125
4.477856485570586,84.990234375
2.1967272417616712,84.462890625
1.2303741774326145,83.14453125
-0.615222552406841,81.826171875
-2.3723687086440504,78.92578125
-3.2502085616531686,76.201171875
-3.688855143147035,72.94921875
-3.2502085616531686,70.400390625
-2.7235830833483856,69.169921875
-1.4939713066293112,67.8515625
0.17578097424708533,67.236328125
1.7575368113083254,65.91796875
3.0746950723696944,65.126953125
5.703447982149503,64.072265625
7.972197714386878,63.720703125
10.401377554543553,63.28125
14.43468,62.05
14.43468021529728,62.05078125
13.987376214146467,55.01953125
13.7313809749427,53.876953125
13.197164523281993,51.83349609375
12.961735843534306,50.8447265625
12.683214911818666,49.54833984375
12.297068292853817,48.53759765625
12.146745814539685,47.61474609375
12.039320557540572,46.95556640625
11.910353555774101,46.29638671875
11.759814674441934,45.791015625
11.6522364041154,45.3955078125
11.576906799408956,44.27490234375
12.071552663274506,43.79150390625
12.554563528593656,43.505859375
12.758231584069796,43.330078125
13.036669323115246,43.1103515625
13.27202630119995,42.8466796875
13.31479411223821,42.791748046875
13.838079936422462,42.47314453125
14.061988097202269,42.36328125
14.487871434931572,42.07763671875
14.806749372133767,41.8359375
15.029685756555674,41.7041015625
15.623036831528264,41.517333984375
16.088042220148818,41.341552734375
16.55196172197252,41.055908203125
16.75194792318035,40.924072265625
17.31917640744285,40.40771484375
17.84283252904802,40.01220703125
18.03097474989003,39.737548828125
18.3858049312974,39.561767578125
18.60460138845525,39.451904296875
18.729501999072138,39.342041015625
19.580493479202527,38.69384765625
19.932041306115536,38.485107421875
20.66362605415281,38.331298828125
21.22794190505815,38.199462890625
22.06527806776582,37.9248046875
22.451648819126202,37.6611328125
23.352342597581107,37.02392578125
24.44714958973082,36.298828125
25.79989118208833,35.595703125
26.70635985763354,34.892578125
27.332735136859146,34.1015625
27.800209937418252,33.75
28.767659105691227,33.0908203125
29.267232865200878,32.6953125
29.99300228455108,32.431640625
30.751277776257812,32.255859375
31.353636941500987,32.080078125
32.02670629333614,31.7724609375
32.65787573695528,31.2451171875
33.21111647241685,30.4541015625
33.284619968887675,29.8828125
33.358061612778876,28.6962890625
33.52307880890422,26.89453125
33.8521697014074,25.048828125
33.97980872872457,24.2578125
34.14363482031264,23.48876953125
34.34343606848294,22.65380859375
34.50655662164561,21.86279296875
34.75966612466248,21.07177734375
34.994003757575776,20.19287109375
35.20972164522138,19.072265625
35.191766965947394,18.43505859375
34.994003757575776,16.6552734375
34.867904962568716,15.99609375
34.77771580360469,15.49072265625
34.66935854524543,14.8095703125
34.66935854524543,13.90869140625
34.72355492704221,13.4033203125
34.72355492704221,12.94189453125
34.831841149828655,12.2607421875
35.06597313798418,11.953125
35.53222622770337,11.9091796875
35.97800618085566,11.79931640625
36.73888412439431,11.6015625
37.19533058280065,11.49169921875
37.42252593456306,11.42578125
37.614231415424165,11.162109375
37.87485339352928,10.5908203125
38.013476231041935,10.1513671875
38.013476231041935,9.2724609375
37.89219554724437,8.2177734375
37.85750715625203,7.55859375
37.82280243352756,6.7236328125
37.71859032558816,6.1962890625
37.82280243352756,5.3173828125
37.85750715625203,4.482421875
37.71859032558816,3.69140625
37.3002752813443,1.7138671875
37.055177106660814,0.791015625
36.63316209558658,-0.4833984375
36.31512514748051,-1.0986328125
36.10237644873644,-2.4169921875
36.03133177633187,-3.955078125
35.96022296929667,-4.74609375
35.67514743608467,-5.9765625
35.31736632923787,-7.03125
35.101934057246055,-7.91015625
35.17380831799959,-9.404296875
35.24561909420681,-10.810546875
36.52729481454624,-15.029296875
38.13455657705411,-16.787109375
39.30029918615029,-17.666015625
40.04443758460856,-18.984375
40.713955826286046,-19.775390625
40.84706035607122,-24.08203125
40.98,-25.1992
10.8333059,-25.6718
5.61598581915534,-25.640625
3.337953961416485,-25.71875
-2.1088986592431254,-25.8515625
-5.615985819155327,-25.86328125
-13.581920900545844,-25.28125
-18.646245142670598,-25.10546875
-24.686952411999144,-25.9296875
-60,-25.171875
